Commit SHA,Java File,Old function signature,New function signature
2fbdecf823fcd6b05d43a12e6fee585cd599b640,"dubbo-metadata-report/dubbo-metadata-report-redis/src/test/java/org/apache/dubbo/metadata/store/redis/RedisMetadataReportTest.java","void:testStoreProvider:","void:testStoreProvider:RedisMetadataReport,String,long"
2fbdecf823fcd6b05d43a12e6fee585cd599b640,"dubbo-metadata-report/dubbo-metadata-report-redis/src/test/java/org/apache/dubbo/metadata/store/redis/RedisMetadataReportTest.java","void:testStoreConsumer:","void:testStoreConsumer:RedisMetadataReport,String,long"
e3f577377e18778184f8954a03312545cf8fcfaf,"dubbo-rpc/dubbo-rpc-dubbo/src/main/java/org/apache/dubbo/rpc/protocol/dubbo/telnet/InvokeTelnetHandler.java","boolean:isMatch:Class<?>[],List<Object>,Class<?>[]","boolean:isMatch:Method,List<Object>,Class<?>[],String"
669705c7d3fa69244cb3301af0f2cd1360609857,"dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/support/FailbackClusterInvoker.java","void:addFailed:Invocation,AbstractClusterInvoker<?>","void:addFailed:LoadBalance,Invocation,List<Invoker<T>>,Invoker<T>"
b1324511d13aad36d14adee7bce71cdbe65a872a,"dubbo-common/src/main/java/org/apache/dubbo/common/URL.java","URL:valueOf:String","URL:valueOf:String,String"
b1324511d13aad36d14adee7bce71cdbe65a872a,"dubbo-common/src/main/java/org/apache/dubbo/common/URL.java","URL:valueOf:String","URL:valueOf:URL,String[],String[]"
b1324511d13aad36d14adee7bce71cdbe65a872a,"dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/RegistryProtocol.java","ExporterChangeableWrapper<T>:doLocalExport:Invoker<T>","ExporterChangeableWrapper<T>:doLocalExport:Invoker<T>,URL"
b1324511d13aad36d14adee7bce71cdbe65a872a,"dubbo-remoting/dubbo-remoting-zookeeper/src/main/java/org/apache/dubbo/remoting/zookeeper/ZookeeperClient.java","void:create:String,boolean","void:create:String,String,boolean"
b1324511d13aad36d14adee7bce71cdbe65a872a,"dubbo-remoting/dubbo-remoting-zookeeper/src/main/java/org/apache/dubbo/remoting/zookeeper/curator/CuratorZookeeperClient.java","void:createPersistent:String","void:createPersistent:String,String"
b1324511d13aad36d14adee7bce71cdbe65a872a,"dubbo-remoting/dubbo-remoting-zookeeper/src/main/java/org/apache/dubbo/remoting/zookeeper/curator/CuratorZookeeperClient.java","void:createEphemeral:String","void:createEphemeral:String,String"
b1324511d13aad36d14adee7bce71cdbe65a872a,"dubbo-remoting/dubbo-remoting-zookeeper/src/main/java/org/apache/dubbo/remoting/zookeeper/support/AbstractZookeeperClient.java","void:create:String,boolean","void:create:String,String,boolean"
b1324511d13aad36d14adee7bce71cdbe65a872a,"dubbo-remoting/dubbo-remoting-zookeeper/src/main/java/org/apache/dubbo/remoting/zookeeper/support/AbstractZookeeperClient.java","void:createPersistent:String","void:createPersistent:String,String"
b1324511d13aad36d14adee7bce71cdbe65a872a,"dubbo-remoting/dubbo-remoting-zookeeper/src/main/java/org/apache/dubbo/remoting/zookeeper/support/AbstractZookeeperClient.java","void:createEphemeral:String","void:createEphemeral:String,String"
b1324511d13aad36d14adee7bce71cdbe65a872a,"dubbo-remoting/dubbo-remoting-zookeeper/src/main/java/org/apache/dubbo/remoting/zookeeper/zkclient/ZkClientWrapper.java","void:createPersistent:String","void:createPersistent:String,String"
b1324511d13aad36d14adee7bce71cdbe65a872a,"dubbo-remoting/dubbo-remoting-zookeeper/src/main/java/org/apache/dubbo/remoting/zookeeper/zkclient/ZkClientWrapper.java","void:createEphemeral:String","void:createEphemeral:String,String"
b1324511d13aad36d14adee7bce71cdbe65a872a,"dubbo-remoting/dubbo-remoting-zookeeper/src/main/java/org/apache/dubbo/remoting/zookeeper/zkclient/ZkclientZookeeperClient.java","void:createPersistent:String","void:createPersistent:String,String"
b1324511d13aad36d14adee7bce71cdbe65a872a,"dubbo-remoting/dubbo-remoting-zookeeper/src/main/java/org/apache/dubbo/remoting/zookeeper/zkclient/ZkclientZookeeperClient.java","void:createEphemeral:String","void:createEphemeral:String,String"
d32ff6065ea7e90c023ad514545a33d525b50e71,"dubbo-rpc/dubbo-rpc-dubbo/src/main/java/org/apache/dubbo/rpc/protocol/dubbo/telnet/InvokeTelnetHandler.java","Method:findMethod:Exporter<?>,String,List<Object>","Method:findMethod:Exporter<?>,String,List<Object>,Class<?>[]"
d32ff6065ea7e90c023ad514545a33d525b50e71,"dubbo-rpc/dubbo-rpc-dubbo/src/main/java/org/apache/dubbo/rpc/protocol/dubbo/telnet/InvokeTelnetHandler.java","boolean:isMatch:Class<?>[],List<Object>","boolean:isMatch:Class<?>[],List<Object>,Class<?>[]"
36a1155bbed8cb31d2b6b4a10908fdef0acd02c9,"dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/AbstractConfig.java","void:appendAttributes:Map<Object,Object>,Object","void:appendAttributes:Map<String,Object>,Object,String"
e18810baba0e2314f11a2c8c080cd58d9af446bf,"dubbo-common/src/main/java/org/apache/dubbo/common/utils/ReflectUtils.java","Class<?>:forName:String","Class<?>:forName:ClassLoader,String"
9c8f4e761951bfac0ad50e3bffe92824e5497a6d,"dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/exchange/support/DefaultFuture.java","void:run:","void:run:Timeout"
8beeb649f2941b6b5941895ebc3ef8ab260c1f9e,"dubbo-serialization/dubbo-serialization-api/src/main/java/org/apache/dubbo/common/serialize/support/SerializableClassRegistry.java","void:registerClass:Class","void:registerClass:Class,Serializer"
b055991b317f4e58d256721875a00c52fe415510,"dubbo-rpc/dubbo-rpc-dubbo/src/main/java/org/apache/dubbo/rpc/protocol/dubbo/filter/FutureFilter.java","void:asyncCallback:Invoker<?>,Invocation","void:asyncCallback:Invoker<?>,Invocation,Result"
286fb12b011fd878b3d44ff6985e082e2141a164,"dubbo-config/dubbo-config-api/src/test/java/com/alibaba/dubbo/config/mock/MockProxyFactory.java","T:getProxy:Invoker<T>","T:getProxy:Invoker<T>,boolean"
286fb12b011fd878b3d44ff6985e082e2141a164,"dubbo-rpc/dubbo-rpc-api/src/main/java/com/alibaba/dubbo/rpc/ProxyFactory.java","T:getProxy:Invoker<T>","T:getProxy:Invoker<T>,boolean"
286fb12b011fd878b3d44ff6985e082e2141a164,"dubbo-rpc/dubbo-rpc-api/src/main/java/com/alibaba/dubbo/rpc/filter/GenericImplFilter.java","void:error:String,String","void:error:String,String,String"
286fb12b011fd878b3d44ff6985e082e2141a164,"dubbo-rpc/dubbo-rpc-api/src/main/java/com/alibaba/dubbo/rpc/proxy/AbstractProxyFactory.java","T:getProxy:Invoker<T>","T:getProxy:Invoker<T>,boolean"
286fb12b011fd878b3d44ff6985e082e2141a164,"dubbo-rpc/dubbo-rpc-api/src/main/java/com/alibaba/dubbo/rpc/proxy/wrapper/StubProxyFactoryWrapper.java","T:getProxy:Invoker<T>","T:getProxy:Invoker<T>,boolean"
e5063679abf2ae2dc028b91b02cb8c8d41251a3d,"dubbo-remoting/dubbo-remoting-api/src/main/java/com/alibaba/dubbo/remoting/exchange/codec/ExchangeCodec.java","void:encodeRequestData:ObjectOutput,Object","void:encodeRequestData:Channel,ObjectOutput,Object,String"
e5063679abf2ae2dc028b91b02cb8c8d41251a3d,"dubbo-remoting/dubbo-remoting-api/src/main/java/com/alibaba/dubbo/remoting/exchange/codec/ExchangeCodec.java","void:encodeResponseData:ObjectOutput,Object","void:encodeResponseData:Channel,ObjectOutput,Object,String"
e5063679abf2ae2dc028b91b02cb8c8d41251a3d,"dubbo-rpc/dubbo-rpc-dubbo/src/main/java/com/alibaba/dubbo/rpc/protocol/dubbo/DubboCodec.java","void:encodeRequestData:Channel,ObjectOutput,Object","void:encodeRequestData:Channel,ObjectOutput,Object,String"
e5063679abf2ae2dc028b91b02cb8c8d41251a3d,"dubbo-rpc/dubbo-rpc-dubbo/src/main/java/com/alibaba/dubbo/rpc/protocol/dubbo/DubboCodec.java","void:encodeResponseData:Channel,ObjectOutput,Object","void:encodeResponseData:Channel,ObjectOutput,Object,String"
b2eb070c9f1a6ba4dc8b2219690be73a471688b7,"hessian-lite/src/main/java/com/alibaba/com/caucho/hessian/io/HessianInput.java","Object:readObject:Class","Object:readObject:Class,Class<?>"
d07c64f809361ec629b738ca223c7e89d08c03f4,"dubbo-config/dubbo-config-spring/src/main/java/com/alibaba/dubbo/config/spring/beans/factory/annotation/ServiceAnnotationBeanPostProcessor.java","String:generateServiceBeanName:Class<?>,String","String:generateServiceBeanName:Service,Class<?>,String"
a2a7706a07897bc7d0dc79923dc724159766da78,"dubbo-config/dubbo-config-spring/src/main/java/com/alibaba/dubbo/config/spring/context/annotation/DubboConfigBindingRegistrar.java","void:registerDubboConfigBindingBeanPostProcessor:String,PropertyValues,BeanDefinitionRegistry","void:registerDubboConfigBindingBeanPostProcessor:String,String,boolean,BeanDefinitionRegistry"
d770d9245c3c3abb3cebf4eda3778ca4595f1542,"dubbo-config/dubbo-config-api/src/test/java/com/alibaba/dubbo/config/cache/CacheTest.java","void:testCache:","void:testCache:String"
d770d9245c3c3abb3cebf4eda3778ca4595f1542,"dubbo-filter/dubbo-filter-cache/src/main/java/com/alibaba/dubbo/cache/CacheFactory.java","Cache:getCache:URL","Cache:getCache:URL,Invocation"
d770d9245c3c3abb3cebf4eda3778ca4595f1542,"dubbo-filter/dubbo-filter-cache/src/main/java/com/alibaba/dubbo/cache/support/AbstractCacheFactory.java","Cache:getCache:URL","Cache:getCache:URL,Invocation"
ace2f4f3618d168caaf12ff869467bd980586d62,"dubbo-rpc/dubbo-rpc-hessian/src/test/java/com/alibaba/dubbo/rpc/protocol/hessian/HessianService.java","String:sayHello:String","String:sayHello:String,int"
ace2f4f3618d168caaf12ff869467bd980586d62,"dubbo-rpc/dubbo-rpc-hessian/src/test/java/com/alibaba/dubbo/rpc/protocol/hessian/HessianServiceImpl.java","String:sayHello:String","String:sayHello:String,int"
59ca32a8262df81b60e131a784f240832ca52b6d,"hessian-lite/src/main/java/com/alibaba/com/caucho/hessian/io/AbstractDeserializer.java","Object:readList:AbstractHessianInput,int","Object:readList:AbstractHessianInput,int,Class<?>"
59ca32a8262df81b60e131a784f240832ca52b6d,"hessian-lite/src/main/java/com/alibaba/com/caucho/hessian/io/AbstractDeserializer.java","Object:readLengthList:AbstractHessianInput,int","Object:readLengthList:AbstractHessianInput,int,Class<?>"
59ca32a8262df81b60e131a784f240832ca52b6d,"hessian-lite/src/main/java/com/alibaba/com/caucho/hessian/io/AbstractDeserializer.java","Object:readMap:AbstractHessianInput","Object:readMap:AbstractHessianInput,Class<?>,Class<?>"
59ca32a8262df81b60e131a784f240832ca52b6d,"hessian-lite/src/main/java/com/alibaba/com/caucho/hessian/io/AbstractHessianInput.java","Object:readObject:Class","Object:readObject:Class,Class<?>"
59ca32a8262df81b60e131a784f240832ca52b6d,"hessian-lite/src/main/java/com/alibaba/com/caucho/hessian/io/CollectionDeserializer.java","Object:readList:AbstractHessianInput,int","Object:readList:AbstractHessianInput,int,Class<?>"
59ca32a8262df81b60e131a784f240832ca52b6d,"hessian-lite/src/main/java/com/alibaba/com/caucho/hessian/io/CollectionDeserializer.java","Object:readLengthList:AbstractHessianInput,int","Object:readLengthList:AbstractHessianInput,int,Class<?>"
59ca32a8262df81b60e131a784f240832ca52b6d,"hessian-lite/src/main/java/com/alibaba/com/caucho/hessian/io/Deserializer.java","Object:readList:AbstractHessianInput,int","Object:readList:AbstractHessianInput,int,Class<?>"
59ca32a8262df81b60e131a784f240832ca52b6d,"hessian-lite/src/main/java/com/alibaba/com/caucho/hessian/io/Deserializer.java","Object:readLengthList:AbstractHessianInput,int","Object:readLengthList:AbstractHessianInput,int,Class<?>"
59ca32a8262df81b60e131a784f240832ca52b6d,"hessian-lite/src/main/java/com/alibaba/com/caucho/hessian/io/Deserializer.java","Object:readMap:AbstractHessianInput","Object:readMap:AbstractHessianInput,Class<?>,Class<?>"
59ca32a8262df81b60e131a784f240832ca52b6d,"hessian-lite/src/main/java/com/alibaba/com/caucho/hessian/io/Hessian2Input.java","Object:readObject:Class","Object:readObject:Class,Class<?>"
59ca32a8262df81b60e131a784f240832ca52b6d,"hessian-lite/src/main/java/com/alibaba/com/caucho/hessian/io/MapDeserializer.java","Object:readMap:AbstractHessianInput","Object:readMap:AbstractHessianInput,Class<?>,Class<?>"
59ca32a8262df81b60e131a784f240832ca52b6d,"hessian-lite/src/main/java/com/alibaba/com/caucho/hessian/io/SerializerFactory.java","Object:readMap:AbstractHessianInput,String","Object:readMap:AbstractHessianInput,String,Class<?>,Class<?>"
a4632dad6cf5ecdbcd8e4f357c69f3b34afc04f0,"dubbo-config/dubbo-config-spring/src/main/java/com/alibaba/dubbo/config/spring/beans/factory/annotation/ServiceAnnotationBeanPostProcessor.java","void:registerServiceBean:BeanDefinitionHolder,BeanDefinitionRegistry","void:registerServiceBean:BeanDefinitionHolder,BeanDefinitionRegistry,DubboClassPathBeanDefinitionScanner"
b7c4e6e8311db954af33d8f8b46468b32342cc92,"dubbo-cluster/src/main/java/com/alibaba/dubbo/rpc/cluster/router/condition/ConditionRouter.java","boolean:matchWhen:URL","boolean:matchWhen:URL,Invocation"
b7c4e6e8311db954af33d8f8b46468b32342cc92,"dubbo-cluster/src/main/java/com/alibaba/dubbo/rpc/cluster/router/condition/ConditionRouter.java","boolean:matchCondition:Map<String,MatchPair>,URL,URL","boolean:matchCondition:Map<String,MatchPair>,URL,URL,Invocation"
105a0c7d11d6e96f6ba692751b805a4a522dbd32,"dubbo-common/src/main/java/com/alibaba/dubbo/common/bytecode/ClassGenerator.java","Class<?>:toClass:","Class<?>:toClass:ClassLoader,ProtectionDomain"
645152af6f574ebc053becb4e11d1a946fa7899c,"dubbo-rpc/dubbo-rpc-api/src/main/java/com/alibaba/dubbo/rpc/filter/GenericImplFilter.java","void:error:String","void:error:String,String"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023,"dubbo-remoting/dubbo-remoting-api/src/main/java/com/alibaba/dubbo/remoting/exchange/codec/ExchangeCodec.java","Object:decode:Channel,InputStream","Object:decode:Channel,ChannelBuffer,int,byte[]"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023,"dubbo-remoting/dubbo-remoting-api/src/main/java/com/alibaba/dubbo/remoting/telnet/codec/TelnetCodec.java","Object:decode:Channel,InputStream","Object:decode:Channel,ChannelBuffer,int,byte[]"
9958282387ce21db0c0e6dbfb598ed4be66965f2,"dubbo-common/src/main/java/com/alibaba/dubbo/common/Version.java","void:checkDuplicate:Class<?>","void:checkDuplicate:Class<?>,boolean"
9958282387ce21db0c0e6dbfb598ed4be66965f2,"dubbo-common/src/main/java/com/alibaba/dubbo/common/Version.java","void:checkDuplicate:Class<?>","void:checkDuplicate:String,boolean"
bf0eee922ba995e78533ae7e8983518c4be247e8,"dubbo-common/src/main/java/com/alibaba/dubbo/common/utils/NetUtils.java","int:getAvailablePort:","int:getAvailablePort:int"
69d1835e973c873ef8f95946708956ce871d98fd,"dubbo-admin/src/main/java/com/alibaba/dubbo/governance/web/common/pulltool/Tool.java","boolean:isProviderEnabled:Provider","boolean:isProviderEnabled:Provider,List<Override>"
69d1835e973c873ef8f95946708956ce871d98fd,"dubbo-admin/src/main/java/com/alibaba/dubbo/governance/web/governance/module/screen/Consumers.java","boolean:mock:Long[],Map<String,Object>","boolean:mock:Long[],Map<String,Object>,String"
69d1835e973c873ef8f95946708956ce871d98fd,"dubbo-admin/src/main/java/com/alibaba/dubbo/governance/web/governance/module/screen/Providers.java","void:add:Map<String,Object>","void:add:Long,Map<String,Object>"
8fda9c757058bce25d04f8e6b4afa62c38cb911e,"dubbo-monitor/dubbo-monitor-api/src/main/java/com/alibaba/dubbo/monitor/support/MonitorFilter.java","void:collect:Invoker<?>,Invocation,RpcContext,long,boolean","void:collect:Invoker<?>,Invocation,Result,RpcContext,long,boolean"
783ae311a8198227da7c5adaccdcb212915a2d61,"dubbo-common/src/main/java/com/alibaba/dubbo/common/URL.java","String:buildString:boolean,boolean,String","String:buildString:boolean,boolean,boolean,boolean,String"
2a14a8cb35c621fe2456bdbb70c5d6b34df60916,"dubbo-common/src/main/java/com/alibaba/dubbo/common/URL.java","String:buildString:boolean,boolean,String","String:buildString:boolean,boolean,boolean,String"
5763254f0a674e4223f8b4f39901ee7cf146b392,"dubbo-rpc/dubbo-rpc-thrift/src/main/java/com/alibaba/dubbo/rpc/protocol/thrift/ThriftCodec.java","void:encodeRequest:OutputStream,Request","void:encodeRequest:Channel,OutputStream,Request"
5763254f0a674e4223f8b4f39901ee7cf146b392,"dubbo-rpc/dubbo-rpc-thrift/src/main/java/com/alibaba/dubbo/rpc/protocol/thrift/ThriftCodec.java","void:encodeResponse:OutputStream,Response","void:encodeResponse:Channel,OutputStream,Response"
7c846562692fdfe82e1abbc88be09a18ed7e56a9,"dubbo-cluster/src/main/java/com/alibaba/dubbo/rpc/cluster/configurator/AbstractConfigurator.java","URL:doConfigure:URL","URL:doConfigure:URL,URL"
7c846562692fdfe82e1abbc88be09a18ed7e56a9,"dubbo-cluster/src/main/java/com/alibaba/dubbo/rpc/cluster/configurator/absent/AbsentConfigurator.java","URL:doConfigure:URL","URL:doConfigure:URL,URL"
7c846562692fdfe82e1abbc88be09a18ed7e56a9,"dubbo-cluster/src/main/java/com/alibaba/dubbo/rpc/cluster/configurator/override/OverrideConfigurator.java","URL:doConfigure:URL","URL:doConfigure:URL,URL"
7c846562692fdfe82e1abbc88be09a18ed7e56a9,"dubbo-common/src/main/java/com/alibaba/dubbo/common/URL.java","int:getPort:","int:getPort:int"
7c846562692fdfe82e1abbc88be09a18ed7e56a9,"dubbo-demo/dubbo-demo-examples/src/main/java/com/alibaba/dubbo/examples/validation/api/ValidationService.java","void:delete:long","void:delete:long,String"
7c846562692fdfe82e1abbc88be09a18ed7e56a9,"dubbo-demo/dubbo-demo-examples/src/main/java/com/alibaba/dubbo/examples/validation/impl/ValidationServiceImpl.java","void:delete:long","void:delete:long,String"
84644d0ab0a1e6ba149a4e0daeb3d1270b114a7a,"dubbo-cluster/src/main/java/com/alibaba/dubbo/rpc/cluster/configurator/AbstractConfigurator.java","URL:doConfigure:URL","URL:doConfigure:URL,URL"
84644d0ab0a1e6ba149a4e0daeb3d1270b114a7a,"dubbo-cluster/src/main/java/com/alibaba/dubbo/rpc/cluster/configurator/absent/AbsentConfigurator.java","URL:doConfigure:URL","URL:doConfigure:URL,URL"
84644d0ab0a1e6ba149a4e0daeb3d1270b114a7a,"dubbo-cluster/src/main/java/com/alibaba/dubbo/rpc/cluster/configurator/override/OverrideConfigurator.java","URL:doConfigure:URL","URL:doConfigure:URL,URL"
4a759d7f7f912d2f9105936e4f503ccbabcdf198,"dubbo-demo/dubbo-demo-examples/src/main/java/com/alibaba/dubbo/examples/validation/api/ValidationService.java","void:delete:long","void:delete:long,String"
4a759d7f7f912d2f9105936e4f503ccbabcdf198,"dubbo-demo/dubbo-demo-examples/src/main/java/com/alibaba/dubbo/examples/validation/impl/ValidationServiceImpl.java","void:delete:long","void:delete:long,String"
a1cbbce40392ae92b332cee287a84bc1bbf7c8fc,"dubbo-common/src/main/java/com/alibaba/dubbo/common/URL.java","int:getPort:","int:getPort:int"
a216c9b5561e4896bb591986f96be0367e4f70e1,"dubbo-registry/dubbo-registry-redis/src/main/java/com/alibaba/dubbo/registry/redis/RedisRegistry.java","void:doNotify:Jedis,String,boolean","void:doNotify:Jedis,Collection<String>,URL,Collection<NotifyListener>"
6af02440e03dffc48ba0f45ad49af7403e966b1c,"dubbo-cluster/src/main/java/com/alibaba/dubbo/rpc/cluster/router/condition/ConditionRouter.java","boolean:matchThen:URL","boolean:matchThen:URL,URL"
6af02440e03dffc48ba0f45ad49af7403e966b1c,"dubbo-cluster/src/main/java/com/alibaba/dubbo/rpc/cluster/router/condition/ConditionRouter.java","boolean:matchCondition:URL,Map<String,MatchPair>","boolean:matchCondition:Map<String,MatchPair>,URL,URL"
6af02440e03dffc48ba0f45ad49af7403e966b1c,"dubbo-cluster/src/main/java/com/alibaba/dubbo/rpc/cluster/router/condition/ConditionRouter.java","boolean:isMatch:String","boolean:isMatch:String,URL"
6af02440e03dffc48ba0f45ad49af7403e966b1c,"dubbo-common/src/main/java/com/alibaba/dubbo/common/utils/UrlUtils.java","boolean:isMatchGlobPattern:String,String","boolean:isMatchGlobPattern:String,String,URL"
5230d48785f1123db26017d86daa8010623a04fc,"dubbo-filter/dubbo-filter-validation/src/main/java/com/alibaba/dubbo/validation/Validator.java","void:validate:Invocation","void:validate:String,Class<?>[],Object[]"
5230d48785f1123db26017d86daa8010623a04fc,"dubbo-filter/dubbo-filter-validation/src/main/java/com/alibaba/dubbo/validation/support/jvalidation/JValidator.java","void:validate:Invocation","void:validate:String,Class<?>[],Object[]"
6487ee88861b6cb1b503ac841f530b95a24f6b7f,"dubbo-config/dubbo-config-spring/src/main/java/com/alibaba/dubbo/config/spring/schema/DubboBeanDefinitionParser.java","void:parseNested:NodeList,ParserContext,Class<?>,boolean,String,String,String","void:parseNested:Element,ParserContext,Class<?>,boolean,String,String,String,BeanDefinition"
5260018868e090493884efec06289d01b4e29293,"dubbo-common/src/main/java/com/alibaba/dubbo/common/utils/PojoUtils.java","Object:generalize:Object","Object:generalize:Object,Map<Object,Object>"
ceee2b8e1dadc298f83b9e51fb439c3425d8a17b,"dubbo-config/dubbo-config-api/src/main/java/com/alibaba/dubbo/config/AbstractReferenceConfig.java","List<URL>:loadRegistries:","List<URL>:loadRegistries:boolean"
12c0a9f94264c711cb0c7b81d8f309e2bc57416a,"dubbo-cluster/dubbo-cluster-api/src/main/java/com/alibaba/dubbo/rpc/cluster/loadbalance/AbstractLoadBalance.java","Invoker<T>:doSelect:List<Invoker<T>>,Invocation","Invoker<T>:doSelect:List<Invoker<T>>,URL,Invocation"
12c0a9f94264c711cb0c7b81d8f309e2bc57416a,"dubbo-cluster/dubbo-cluster-api/src/main/java/com/alibaba/dubbo/rpc/cluster/loadbalance/ConsistentHashLoadBalance.java","Invoker<T>:doSelect:List<Invoker<T>>,Invocation","Invoker<T>:doSelect:List<Invoker<T>>,URL,Invocation"
12c0a9f94264c711cb0c7b81d8f309e2bc57416a,"dubbo-cluster/dubbo-cluster-api/src/main/java/com/alibaba/dubbo/rpc/cluster/loadbalance/LeastActiveLoadBalance.java","Invoker<T>:doSelect:List<Invoker<T>>,Invocation","Invoker<T>:doSelect:List<Invoker<T>>,URL,Invocation"
12c0a9f94264c711cb0c7b81d8f309e2bc57416a,"dubbo-cluster/dubbo-cluster-api/src/main/java/com/alibaba/dubbo/rpc/cluster/loadbalance/RandomLoadBalance.java","Invoker<T>:doSelect:List<Invoker<T>>,Invocation","Invoker<T>:doSelect:List<Invoker<T>>,URL,Invocation"
