Commit SHA,Java File,Old function signature,New function signature
6cd80a9443ab2d8f15c8bff60b289e3b5d94a9d0,"android/guava/src/com/google/common/io/ByteStreams.java","byte[]:toByteArray:InputStream","byte[]:toByteArray:InputStream,long"
6cd80a9443ab2d8f15c8bff60b289e3b5d94a9d0,"guava/src/com/google/common/io/ByteStreams.java","byte[]:toByteArray:InputStream","byte[]:toByteArray:InputStream,long"
7f1defafe4155a4e14a9805cb6c14fa406b390f3,"android/guava/src/com/google/thirdparty/publicsuffix/TrieParser.java","int:doParseTrieToBuilder:List<CharSequence>,CharSequence,ImmutableMap.Builder<String,PublicSuffixType>","int:doParseTrieToBuilder:List<CharSequence>,CharSequence,int,ImmutableMap.Builder<String,PublicSuffixType>"
7f1defafe4155a4e14a9805cb6c14fa406b390f3,"guava/src/com/google/thirdparty/publicsuffix/TrieParser.java","int:doParseTrieToBuilder:List<CharSequence>,CharSequence,ImmutableMap.Builder<String,PublicSuffixType>","int:doParseTrieToBuilder:List<CharSequence>,CharSequence,int,ImmutableMap.Builder<String,PublicSuffixType>"
d710bd82209651d6525fef7c917ae8534327e779,"android/guava/src/com/google/common/reflect/TypeToken.java","boolean:is:Type","boolean:is:Type,TypeVariable<?>"
d710bd82209651d6525fef7c917ae8534327e779,"guava/src/com/google/common/reflect/TypeToken.java","boolean:is:Type","boolean:is:Type,TypeVariable<?>"
57787964acb81ea339d70cc7478af59e9f9ba70a,"android/guava/src/com/google/common/math/MathPreconditions.java","void:checkNoOverflow:boolean","void:checkNoOverflow:boolean,String,int,int"
57787964acb81ea339d70cc7478af59e9f9ba70a,"android/guava/src/com/google/common/math/MathPreconditions.java","void:checkNoOverflow:boolean","void:checkNoOverflow:boolean,String,long,long"
57787964acb81ea339d70cc7478af59e9f9ba70a,"guava/src/com/google/common/math/MathPreconditions.java","void:checkNoOverflow:boolean","void:checkNoOverflow:boolean,String,int,int"
57787964acb81ea339d70cc7478af59e9f9ba70a,"guava/src/com/google/common/math/MathPreconditions.java","void:checkNoOverflow:boolean","void:checkNoOverflow:boolean,String,long,long"
7da42d206b81c8fe184f73a9314fd8ffcf565560,"android/guava/src/com/google/common/net/MediaType.java","MediaType:withParameters:Multimap<String,String>","MediaType:withParameters:String,Iterable<String>"
7da42d206b81c8fe184f73a9314fd8ffcf565560,"guava/src/com/google/common/net/MediaType.java","MediaType:withParameters:Multimap<String,String>","MediaType:withParameters:String,Iterable<String>"
631696beffc2f8f216b3fb0da32605c472935504,"android/guava/src/com/google/common/base/Verify.java","void:verify:boolean","void:verify:boolean,String,char"
631696beffc2f8f216b3fb0da32605c472935504,"android/guava/src/com/google/common/base/Verify.java","void:verify:boolean","void:verify:boolean,String,int"
631696beffc2f8f216b3fb0da32605c472935504,"android/guava/src/com/google/common/base/Verify.java","void:verify:boolean","void:verify:boolean,String,long"
631696beffc2f8f216b3fb0da32605c472935504,"android/guava/src/com/google/common/base/Verify.java","void:verify:boolean","void:verify:boolean,String,char,char"
631696beffc2f8f216b3fb0da32605c472935504,"android/guava/src/com/google/common/base/Verify.java","void:verify:boolean","void:verify:boolean,String,int,char"
631696beffc2f8f216b3fb0da32605c472935504,"android/guava/src/com/google/common/base/Verify.java","void:verify:boolean","void:verify:boolean,String,long,char"
631696beffc2f8f216b3fb0da32605c472935504,"android/guava/src/com/google/common/base/Verify.java","void:verify:boolean","void:verify:boolean,String,Object,char"
631696beffc2f8f216b3fb0da32605c472935504,"android/guava/src/com/google/common/base/Verify.java","void:verify:boolean","void:verify:boolean,String,char,int"
631696beffc2f8f216b3fb0da32605c472935504,"android/guava/src/com/google/common/base/Verify.java","void:verify:boolean","void:verify:boolean,String,int,int"
631696beffc2f8f216b3fb0da32605c472935504,"android/guava/src/com/google/common/base/Verify.java","void:verify:boolean","void:verify:boolean,String,long,int"
631696beffc2f8f216b3fb0da32605c472935504,"android/guava/src/com/google/common/base/Verify.java","void:verify:boolean","void:verify:boolean,String,Object,int"
631696beffc2f8f216b3fb0da32605c472935504,"android/guava/src/com/google/common/base/Verify.java","void:verify:boolean","void:verify:boolean,String,char,long"
631696beffc2f8f216b3fb0da32605c472935504,"android/guava/src/com/google/common/base/Verify.java","void:verify:boolean","void:verify:boolean,String,int,long"
