Commit SHA,Java File,Old function signature,New function signature
8e88daa7ca1019bb9337b1e10440d2fd03aaf391,"javaparser-symbol-solver-testing/src/test/java/com/github/javaparser/symbolsolver/Issue235.java","void:issue235:","void:issue235:String"
8e88daa7ca1019bb9337b1e10440d2fd03aaf391,"javaparser-symbol-solver-testing/src/test/java/com/github/javaparser/symbolsolver/resolution/typesolvers/CombinedTypeSolverTest.java","void:testExceptionFilter:","void:testExceptionFilter:Exception,Predicate<Exception>,boolean"
8e88daa7ca1019bb9337b1e10440d2fd03aaf391,"javaparser-symbol-solver-testing/src/test/java/com/github/javaparser/symbolsolver/resolution/typesolvers/JavaParserTypeSolverTest.java","void:folderTraversalDoesNotKeepFolderHandlesHostage:","void:folderTraversalDoesNotKeepFolderHandlesHostage:Path"
1ef527d5c9b20b127498420efa78b13c0b0ba4ed,"javaparser-core/src/main/java/com/github/javaparser/ast/CompilationUnit.java","ClassOrInterfaceDeclaration:addClass:String","ClassOrInterfaceDeclaration:addClass:String,Modifier.Keyword"
1ef527d5c9b20b127498420efa78b13c0b0ba4ed,"javaparser-core/src/main/java/com/github/javaparser/ast/CompilationUnit.java","ClassOrInterfaceDeclaration:addInterface:String","ClassOrInterfaceDeclaration:addInterface:String,Modifier.Keyword"
1ef527d5c9b20b127498420efa78b13c0b0ba4ed,"javaparser-core/src/main/java/com/github/javaparser/ast/CompilationUnit.java","EnumDeclaration:addEnum:String","EnumDeclaration:addEnum:String,Modifier.Keyword"
1ef527d5c9b20b127498420efa78b13c0b0ba4ed,"javaparser-core/src/main/java/com/github/javaparser/ast/CompilationUnit.java","AnnotationDeclaration:addAnnotationDeclaration:String","AnnotationDeclaration:addAnnotationDeclaration:String,Modifier.Keyword"
d79308d728e8878a7432a70e398a5e8151d63e9a,"javaparser-core/src/main/java/com/github/javaparser/ast/CompilationUnit.java","ClassOrInterfaceDeclaration:addClass:String","ClassOrInterfaceDeclaration:addClass:String,Modifier"
d79308d728e8878a7432a70e398a5e8151d63e9a,"javaparser-core/src/main/java/com/github/javaparser/ast/CompilationUnit.java","ClassOrInterfaceDeclaration:addInterface:String","ClassOrInterfaceDeclaration:addInterface:String,Modifier"
d79308d728e8878a7432a70e398a5e8151d63e9a,"javaparser-core/src/main/java/com/github/javaparser/ast/CompilationUnit.java","EnumDeclaration:addEnum:String","EnumDeclaration:addEnum:String,Modifier"
d79308d728e8878a7432a70e398a5e8151d63e9a,"javaparser-core/src/main/java/com/github/javaparser/ast/CompilationUnit.java","AnnotationDeclaration:addAnnotationDeclaration:String","AnnotationDeclaration:addAnnotationDeclaration:String,Modifier"
568d245c105ad0dab3f112d55b5c8e6434437719,"javaparser-core/src/main/java/com/github/javaparser/ast/CompilationUnit.java","ClassOrInterfaceDeclaration:addClass:String","ClassOrInterfaceDeclaration:addClass:String,Modifier.Keyword"
568d245c105ad0dab3f112d55b5c8e6434437719,"javaparser-core/src/main/java/com/github/javaparser/ast/CompilationUnit.java","ClassOrInterfaceDeclaration:addInterface:String","ClassOrInterfaceDeclaration:addInterface:String,Modifier.Keyword"
568d245c105ad0dab3f112d55b5c8e6434437719,"javaparser-core/src/main/java/com/github/javaparser/ast/CompilationUnit.java","EnumDeclaration:addEnum:String","EnumDeclaration:addEnum:String,Modifier.Keyword"
568d245c105ad0dab3f112d55b5c8e6434437719,"javaparser-core/src/main/java/com/github/javaparser/ast/CompilationUnit.java","AnnotationDeclaration:addAnnotationDeclaration:String","AnnotationDeclaration:addAnnotationDeclaration:String,Modifier.Keyword"
d18dad799f6f83d7e146498b38079f550c8778c4,"javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/contexts/MethodCallExprContext.java","Optional<MethodUsage>:solveMethodAsUsage:String,List<ResolvedType>,TypeSolver","Optional<MethodUsage>:solveMethodAsUsage:ResolvedReferenceType,String,List<ResolvedType>,Context"
d18dad799f6f83d7e146498b38079f550c8778c4,"javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/contexts/MethodCallExprContext.java","Optional<MethodUsage>:solveMethodAsUsage:String,List<ResolvedType>,TypeSolver","Optional<MethodUsage>:solveMethodAsUsage:ResolvedTypeVariable,String,List<ResolvedType>,Context"
d18dad799f6f83d7e146498b38079f550c8778c4,"javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/contexts/MethodCallExprContext.java","Optional<MethodUsage>:solveMethodAsUsage:String,List<ResolvedType>,TypeSolver","Optional<MethodUsage>:solveMethodAsUsage:ResolvedType,String,List<ResolvedType>,Context"
d18dad799f6f83d7e146498b38079f550c8778c4,"javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/declarations/JavaParserClassDeclaration.java","SymbolReference<ResolvedMethodDeclaration>:solveMethod:String,List<ResolvedType>","SymbolReference<ResolvedMethodDeclaration>:solveMethod:String,List<ResolvedType>,boolean"
9429a42b43ca8ba7e645a46dee34f6a3ffe54444,"javaparser-core/src/main/java/com/github/javaparser/HasParentNode.java","Optional<N>:findAncestor:Class<N>","Optional<N>:findAncestor:Class<N>,Predicate<N>"
9bd1e3782bcfe295f12341d4326ee92da0889124,"javaparser-core/src/main/java/com/github/javaparser/resolution/declarations/ResolvedReferenceTypeDeclaration.java","List<ResolvedReferenceType>:getAncestors:","List<ResolvedReferenceType>:getAncestors:boolean"
9bd1e3782bcfe295f12341d4326ee92da0889124,"javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/declarations/JavaParserAnnotationDeclaration.java","List<ResolvedReferenceType>:getAncestors:","List<ResolvedReferenceType>:getAncestors:boolean"
9bd1e3782bcfe295f12341d4326ee92da0889124,"javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/declarations/JavaParserAnonymousClassDeclaration.java","List<ResolvedReferenceType>:getAncestors:","List<ResolvedReferenceType>:getAncestors:boolean"
9bd1e3782bcfe295f12341d4326ee92da0889124,"javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/declarations/JavaParserEnumDeclaration.java","List<ResolvedReferenceType>:getAncestors:","List<ResolvedReferenceType>:getAncestors:boolean"
9bd1e3782bcfe295f12341d4326ee92da0889124,"javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/declarations/JavaParserInterfaceDeclaration.java","List<ResolvedReferenceType>:getAncestors:","List<ResolvedReferenceType>:getAncestors:boolean"
9bd1e3782bcfe295f12341d4326ee92da0889124,"javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/declarations/JavaParserTypeParameter.java","List<ResolvedReferenceType>:getAncestors:","List<ResolvedReferenceType>:getAncestors:boolean"
9bd1e3782bcfe295f12341d4326ee92da0889124,"javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/declarations/JavaParserTypeVariableDeclaration.java","List<ResolvedReferenceType>:getAncestors:","List<ResolvedReferenceType>:getAncestors:boolean"
