Commit SHA,Java File,Old function signature,New function signature
08757d77f5f7bec58198f8e79d1861bd59e737d4,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/mongo/embedded/EmbeddedMongoAutoConfiguration.java","IRuntimeConfig:embeddedMongoRuntimeConfig:","IRuntimeConfig:embeddedMongoRuntimeConfig:ObjectProvider<DownloadConfigBuilderCustomizer>"
08757d77f5f7bec58198f8e79d1861bd59e737d4,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/mongo/embedded/EmbeddedMongoAutoConfiguration.java","ArtifactStoreBuilder:getArtifactStore:Logger","ArtifactStoreBuilder:getArtifactStore:Logger,Stream<DownloadConfigBuilderCustomizer>"
361c2dbcc4004f224340405f1b36fdcbf0ed2df0,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/reactive/ReactiveWebServerFactoryConfiguration.java","TomcatReactiveWebServerFactory:tomcatReactiveWebServerFactory:","TomcatReactiveWebServerFactory:tomcatReactiveWebServerFactory:ObjectProvider<TomcatConnectorCustomizer>,ObjectProvider<TomcatContextCustomizer>"
361c2dbcc4004f224340405f1b36fdcbf0ed2df0,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/servlet/ServletWebServerFactoryConfiguration.java","TomcatServletWebServerFactory:tomcatServletWebServerFactory:","TomcatServletWebServerFactory:tomcatServletWebServerFactory:ObjectProvider<TomcatConnectorCustomizer>,ObjectProvider<TomcatContextCustomizer>"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,"spring-boot-samples/spring-boot-sample-integration/src/test/java/sample/integration/consumer/SampleIntegrationApplicationTests.java","String:getOutput:","String:getOutput:File"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,"spring-boot-samples/spring-boot-sample-integration/src/test/java/sample/integration/consumer/SampleIntegrationApplicationTests.java","Resource[]:getResourcesWithContent:","Resource[]:getResourcesWithContent:File"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,"spring-boot-samples/spring-boot-sample-parent-context/src/test/java/sample/parent/consumer/SampleIntegrationParentApplicationTests.java","void:awaitOutputContaining:String","void:awaitOutputContaining:File,String"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,"spring-boot-samples/spring-boot-sample-parent-context/src/test/java/sample/parent/consumer/SampleIntegrationParentApplicationTests.java","Resource[]:findResources:","Resource[]:findResources:File"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,"spring-boot-tests/spring-boot-integration-tests/spring-boot-devtools-tests/src/test/java/org/springframework/boot/devtools/tests/ApplicationLauncher.java","LaunchedApplication:launchApplication:JvmLauncher","LaunchedApplication:launchApplication:JvmLauncher,File"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,"spring-boot-tests/spring-boot-integration-tests/spring-boot-devtools-tests/src/test/java/org/springframework/boot/devtools/tests/LocalApplicationLauncher.java","LaunchedApplication:launchApplication:JvmLauncher","LaunchedApplication:launchApplication:JvmLauncher,File"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,"spring-boot-tests/spring-boot-integration-tests/spring-boot-devtools-tests/src/test/java/org/springframework/boot/devtools/tests/RemoteApplicationLauncher.java","LaunchedApplication:launchApplication:JvmLauncher","LaunchedApplication:launchApplication:JvmLauncher,File"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,"spring-boot-tests/spring-boot-integration-tests/spring-boot-devtools-tests/src/test/java/org/springframework/boot/devtools/tests/RemoteApplicationLauncher.java","int:awaitServerPort:File","int:awaitServerPort:File,File"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,"spring-boot-tests/spring-boot-integration-tests/spring-boot-server-tests/src/test/java/org/springframework/boot/context/embedded/AbstractApplicationLauncher.java","List<String>:getArguments:File","List<String>:getArguments:File,File"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,"spring-boot-tests/spring-boot-integration-tests/spring-boot-server-tests/src/test/java/org/springframework/boot/context/embedded/BootRunApplicationLauncher.java","List<String>:getArguments:File","List<String>:getArguments:File,File"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,"spring-boot-tests/spring-boot-integration-tests/spring-boot-server-tests/src/test/java/org/springframework/boot/context/embedded/ExplodedApplicationLauncher.java","List<String>:getArguments:File","List<String>:getArguments:File,File"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,"spring-boot-tests/spring-boot-integration-tests/spring-boot-server-tests/src/test/java/org/springframework/boot/context/embedded/IdeApplicationLauncher.java","List<String>:getArguments:File","List<String>:getArguments:File,File"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,"spring-boot-tests/spring-boot-integration-tests/spring-boot-server-tests/src/test/java/org/springframework/boot/context/embedded/PackagedApplicationLauncher.java","List<String>:getArguments:File","List<String>:getArguments:File,File"
9a97e1b0f7e8104a105f015c32192823fbc66fec,"spring-boot-samples/spring-boot-sample-kafka/src/test/java/sample/kafka/SampleKafkaApplicationTests.java","void:testVanillaExchange:","void:testVanillaExchange:Consumer"
59d2b0a3fb2e9f83345c23b32e5bbac47c74dbd2,"spring-boot-project/spring-boot-actuator-autoconfigure/src/test/java/org/springframework/boot/actuate/autoconfigure/endpoint/web/documentation/MappingsEndpointReactiveDocumentationTests.java","void:webTestClient:","void:webTestClient:RestDocumentationContextProvider"
59d2b0a3fb2e9f83345c23b32e5bbac47c74dbd2,"spring-boot-project/spring-boot-actuator-autoconfigure/src/test/java/org/springframework/boot/actuate/autoconfigure/endpoint/web/documentation/MappingsEndpointServletDocumentationTests.java","void:webTestClient:","void:webTestClient:RestDocumentationContextProvider"
59d2b0a3fb2e9f83345c23b32e5bbac47c74dbd2,"spring-boot-project/spring-boot-actuator-autoconfigure/src/test/java/org/springframework/boot/actuate/autoconfigure/logging/LogFileWebEndpointAutoConfigurationTests.java","void:logFileWebEndpointUsesConfiguredExternalFile:","void:logFileWebEndpointUsesConfiguredExternalFile:Path"
59d2b0a3fb2e9f83345c23b32e5bbac47c74dbd2,"spring-boot-project/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/logging/LogFileWebEndpointTests.java","void:before:","void:before:Path"
9686ae4f60dc73ff4f9d7174bd6420ffde2f78d0,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/condition/AbstractNestedCondition.java","Map<AnnotationMetadata,List<Condition>>:getMemberConditions:String[]","Map<AnnotationMetadata,List<Condition>>:getMemberConditions:String[],ConfigurationPhase,String"
9c426c63bf8c9623f670f5f3e18842ed3ac28fe1,"spring-boot-project/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/elasticsearch/ElasticsearchRestHealthIndicator.java","void:doHealthCheck:Health.Builder","void:doHealthCheck:Health.Builder,String"
fc6c07ad3c18718df7cf89370f44e19ce4293631,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/jersey/JerseyAutoConfiguration.java","FilterRegistrationBean<ServletContainer>:jerseyFilterRegistration:","FilterRegistrationBean<ServletContainer>:jerseyFilterRegistration:JerseyApplicationPath"
fc6c07ad3c18718df7cf89370f44e19ce4293631,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/jersey/JerseyAutoConfiguration.java","ServletRegistrationBean<ServletContainer>:jerseyServletRegistration:","ServletRegistrationBean<ServletContainer>:jerseyServletRegistration:JerseyApplicationPath"
56eebc9385e6c458a18e05115ceaf0df73bfbc02,"spring-boot-project/spring-boot-tools/spring-boot-loader/src/main/java/org/springframework/boot/loader/jar/JarFileEntries.java","T:getEntry:CharSequence,Class<T>,boolean","T:getEntry:int,CharSequence,char,Class<T>,boolean,AsciiBytes"
56eebc9385e6c458a18e05115ceaf0df73bfbc02,"spring-boot-project/spring-boot-tools/spring-boot-loader/src/main/java/org/springframework/boot/loader/jar/JarFileEntries.java","T:getEntry:CharSequence,Class<T>,boolean","T:getEntry:int,Class<T>,boolean,AsciiBytes"
56eebc9385e6c458a18e05115ceaf0df73bfbc02,"spring-boot-project/spring-boot-tools/spring-boot-loader/src/test/java/org/springframework/boot/loader/TestJarCreator.java","void:writeNestedEntry:String,boolean,JarOutputStream","void:writeNestedEntry:String,boolean,JarOutputStream,boolean"
56eebc9385e6c458a18e05115ceaf0df73bfbc02,"spring-boot-project/spring-boot-tools/spring-boot-loader/src/test/java/org/springframework/boot/loader/TestJarCreator.java","byte[]:getNestedJarData:","byte[]:getNestedJarData:boolean"
56eebc9385e6c458a18e05115ceaf0df73bfbc02,"spring-boot-project/spring-boot-tools/spring-boot-loader/src/test/java/org/springframework/boot/loader/TestJarCreator.java","void:writeManifest:JarOutputStream,String","void:writeManifest:JarOutputStream,String,boolean"
1bb788f5c2be4fcbbb361dd699a9c6f6c46cad76,"spring-boot-tests/spring-boot-integration-tests/spring-boot-devtools-tests/src/test/java/org/springframework/boot/devtools/tests/LaunchedApplication.java","void:stop:","void:stop:Process"
1bb788f5c2be4fcbbb361dd699a9c6f6c46cad76,"spring-boot-tests/spring-boot-integration-tests/spring-boot-devtools-tests/src/test/java/org/springframework/boot/devtools/tests/RemoteApplicationLauncher.java","String:createRemoteSpringApplicationClassPath:","String:createRemoteSpringApplicationClassPath:File"
ab6ab0d533f28b8a58c525d2960a01ed32a14935,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/condition/OnClassCondition.java","ConditionOutcome:getOutcome:String","ConditionOutcome:getOutcome:String,ClassLoader"
ac9c003a65bcb5f167c47265d17f05d304e2a1f6,"spring-boot-project/spring-boot-actuator-autoconfigure/src/main/java/org/springframework/boot/actuate/autoconfigure/metrics/export/influx/InfluxMetricsExportAutoConfiguration.java","InfluxMeterRegistry:influxMeterRegistry:InfluxConfig,Clock","InfluxMeterRegistry:influxMeterRegistry:InfluxConfig,Clock,InfluxProperties"
3e6a4eb6e38880f34ac88cc5e158c304bb1263e2,"spring-boot-project/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/elasticsearch/ElasticsearchJestHealthIndicatorTests.java","JestResult:createJestResult:int,int","JestResult:createJestResult:String,int,boolean"
1a0a8470e58d1b95a4e253678eec1deaaa2e6b00,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/batch/BatchAutoConfiguration.java","JobLauncherCommandLineRunner:jobLauncherCommandLineRunner:JobLauncher,JobExplorer","JobLauncherCommandLineRunner:jobLauncherCommandLineRunner:JobLauncher,JobExplorer,JobRepository"
9f858e759c2bd69018b54e378b2dc982dcebea2c,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/condition/BeanTypeRegistry.java","Set<String>:getNamesForType:Class<?>","Set<String>:getNamesForType:Class<?>,TypeExtractor"
9f858e759c2bd69018b54e378b2dc982dcebea2c,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/condition/BeanTypeRegistry.java","void:updateTypesIfNecessary:","void:updateTypesIfNecessary:String"
9f858e759c2bd69018b54e378b2dc982dcebea2c,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/condition/OnBeanCondition.java","List<String>:getNamesOfBeansIgnoredByType:List<String>,ListableBeanFactory,ConditionContext,boolean","List<String>:getNamesOfBeansIgnoredByType:List<String>,TypeExtractor,ListableBeanFactory,ConditionContext,boolean"
9f858e759c2bd69018b54e378b2dc982dcebea2c,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/condition/OnBeanCondition.java","Collection<String>:getBeanNamesForType:ListableBeanFactory,String,ClassLoader,boolean","Collection<String>:getBeanNamesForType:ListableBeanFactory,String,TypeExtractor,ClassLoader,boolean"
9f858e759c2bd69018b54e378b2dc982dcebea2c,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/condition/OnBeanCondition.java","void:collectBeanNamesForType:Set<String>,ListableBeanFactory,Class<?>,boolean","void:collectBeanNamesForType:Set<String>,ListableBeanFactory,Class<?>,TypeExtractor,boolean"
bd0a41d82de5f69f98af586cd4e61d1c2894f442,"spring-boot-project/spring-boot-actuator-autoconfigure/src/test/java/org/springframework/boot/actuate/autoconfigure/security/servlet/EndpointRequestTests.java","RequestMatcherAssert:assertMatcher:RequestMatcher","RequestMatcherAssert:assertMatcher:RequestMatcher,PathMappedEndpoints,RequestMatcherProvider"
6b37d874975cec8c903360074f9c9342d9b5deb9,"spring-boot-project/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/endpoint/web/PathMapper.java","String:getRootPath:EndpointId","String:getRootPath:List<PathMapper>,EndpointId"
1bf97e9b5e2187a04d8471ead73b629444ecc838,"spring-boot-project/spring-boot-actuator-autoconfigure/src/test/java/org/springframework/boot/actuate/autoconfigure/cloudfoundry/CloudFoundryWebEndpointDiscovererTests.java","void:load:Class<?>,Consumer<CloudFoundryWebEndpointDiscoverer>","void:load:Function<EndpointId,Long>,PathMapper,Class<?>,Consumer<CloudFoundryWebEndpointDiscoverer>"
1bf97e9b5e2187a04d8471ead73b629444ecc838,"spring-boot-project/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/endpoint/annotation/DiscoveredOperationsFactory.java","O:createOperation:String,Object,Method","O:createOperation:EndpointId,Object,Method,OperationType,Class<? extends Annotation>"
1bf97e9b5e2187a04d8471ead73b629444ecc838,"spring-boot-project/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/jmx/annotation/JmxEndpointDiscovererTests.java","void:load:Class<?>,Consumer<JmxEndpointDiscoverer>","void:load:Class<?>,Function<EndpointId,Long>,Consumer<JmxEndpointDiscoverer>"
1bf97e9b5e2187a04d8471ead73b629444ecc838,"spring-boot-project/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/web/annotation/WebEndpointDiscovererTests.java","void:load:Class<?>,Consumer<WebEndpointDiscoverer>","void:load:Function<EndpointId,Long>,PathMapper,Class<?>,Consumer<WebEndpointDiscoverer>"
2588a71ac4d8b47a7b3b5a556cb50b490a136d7c,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/reactive/ReactiveWebServerFactoryConfiguration.java","NettyReactiveWebServerFactory:nettyReactiveWebServerFactory:","NettyReactiveWebServerFactory:nettyReactiveWebServerFactory:ReactorResourceFactory"
2588a71ac4d8b47a7b3b5a556cb50b490a136d7c,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/reactive/ReactiveWebServerFactoryConfiguration.java","JettyReactiveWebServerFactory:jettyReactiveWebServerFactory:","JettyReactiveWebServerFactory:jettyReactiveWebServerFactory:JettyResourceFactory"
5f0d7dd6c79e9937ccc863074ece4edc9363aca0,"spring-boot-project/spring-boot-actuator-autoconfigure/src/main/java/org/springframework/boot/actuate/autoconfigure/metrics/MetricsAutoConfiguration.java","MeterRegistryPostProcessor:meterRegistryPostProcessor:ApplicationContext","MeterRegistryPostProcessor:meterRegistryPostProcessor:ObjectProvider<List<MeterBinder>>,ObjectProvider<List<MeterFilter>>,ObjectProvider<List<MeterRegistryCustomizer<?>>>,ObjectProvider<MetricsProperties>"
85f86243c90d7cb4d76639ccab18fcefe90b7c6d,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/condition/OnClassCondition.java","ConditionOutcome:getOutcome:Set<String>","ConditionOutcome:getOutcome:String,ClassNameFilter,ClassLoader"
eacea1af469e55c1ca444e575fb114a8ef211edd,"spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/info/ProjectInfoAutoConfiguration.java","Properties:loadFrom:Resource,String","Properties:loadFrom:Resource,String,Charset"
646c20ed6a00bd010b76dc0fef457d40876fd861,"spring-boot-project/spring-boot-autoconfigure/src/test/java/org/springframework/boot/autoconfigure/diagnostics/analyzer/NoSuchBeanDefinitionFailureAnalyzerTests.java","void:assertClassDisabled:FailureAnalysis,String,String","void:assertClassDisabled:FailureAnalysis,String,String,String"
1e0f2b652e10d6106c07a7f48352b8990d8298df,"spring-boot-project/spring-boot/src/main/java/org/springframework/boot/web/embedded/netty/SslServerCustomizer.java","KeyStore:loadKeyStore:String,String,String","KeyStore:loadKeyStore:String,String,String,String"
1afdfef83ab189347548b905371a3cd6783040b0,"spring-boot-project/spring-boot/src/main/java/org/springframework/boot/web/embedded/undertow/SslBuilderCustomizer.java","KeyStore:loadKeyStore:String,String,String","KeyStore:loadKeyStore:String,String,String,String"
da7daece08f8d42cfef45a850b4f2f0171e09d91,"spring-boot-project/spring-boot-test/src/main/java/org/springframework/boot/test/web/SpringBootTestRandomPortEnvironmentPostProcessor.java","boolean:isTestServerPortFixed:MapPropertySource","boolean:isTestServerPortFixed:MapPropertySource,ConversionService"
00e122c7ece5909a3d79c948c98c894221f50f78,"spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java","WebApplicationType:deduceWebApplicationType:","WebApplicationType:deduceWebApplicationType:Class<?>"
